"Input","Query"
"bana işçiler tablosundaki maaşları göster","SELECT Name,Salary FROM employees"
"unvanlar tablosundan temizlikçi personellerini doğum tarihlerine göre sırala","SELECT titles.TitleName, employees.Name, employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Date_of_birth"
"unvanlar tablosundan stajyerlerin isimlerini alfabetik sırala getir","SELECT titles.TitleName,employees.Name,employees.Surname FROM titles INNER JOIN employees ON titles.TitleNo=Personel.TitleNo WHERE TitleName=’Stajyer’ ORDER BY Name ASC"
"personeller tablosundan ahmet mete nerede oturuyor","SELECT Address FROM employees WHERE Name='Ahmet Mete'"
"öğrenciler tablosunda mail adresi eksik olanlar kim","SELECT * FROM students WHERE Mail IS NULL;"
"bölümler tablosundan Makine mühendisliği bölümündeki toplam öğrenci sayısı kaçtır","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Makine mühendisliği ”"
"hasta kabul tablosundan sadece kadın hastaları listele","SELECT * FROM patient_admission WHERE Gender= 'kadın'"
"kitaplar tablosundaki tüm kitapları listele","SELECT * FROM Books"
"hasta kabul tablosundan giriş tarihi son 2 saate ait olan çocuk hastaları listele","SELECT * FROM patient_admission WHERE Date_Entry > DATE_SUB(NOW(), INTERVAL 2 HOUR) AND Gender= 'Çocuk'"
"bana işçiler tablosundaki maaşları getir","SELECT Salary FROM employees"
"müşteriler tablosundaki tüm müşterilerin adreslerini getir","SELECT Address FROM customers"
"personeller tablosundan ahsen ödemiş in ev adresi nedir","SELECT Address FROM employees WHERE Name=’ahsen odemis”'"
"ürün tablosundan paketlerin birim fiyatlarını göster","SELECT UnitPrice FROM products"
"müşteriler tablosundaki tüm müşterilerin kimlik numaralarını getir","SELECT Id FROM customers"
"ürünler tablosundaki ürün isimlerini alfabetik sıralama ile getir","SELECT ProductName FROM products ORDER BY ProductName ASC"
"tedarikçiler tablosundan ülkeleri ve telefon numaralarını getir","SELECT Country, PhoneNumber FROM suppliers"
"kategoriler tablosundan tüm açıklamaları getir","SELECT Description FROM categories"
"kategoriler tablosundan son 50 açıklamaları getir","SELECT * FROM categories ORDER BY Description DESC LIMIT 50;"
"hasta kabul tablosundan sadece kadın hastaları listele","SELECT * FROM patient_admission WHERE Gender= ‘kadın’"
"bana işçiler tablosundaki maaşları göster","SELECT Name,Salary FROM Employees"
"personeller tablosundan ayşe derkes nerede oturuyor","SELECT Address FROM employees WHERE Name = ' ayşe derkes ';"
"müşteriler tablosundaki ilk 100 müşterinin isim ve kimlik numaralarını getir","SELECT Name, IdentificationNumber FROM Customer LIMIT 100;"
"çalışanlar tablosundan alfabetik sıralamaya göre ilk 20 kişinin adreslerinin ve telefon numaralarını göster","SELECT Address, PhoneNumber FROM Employee ORDER BY Name ASC LIMIT 20"
"çalışanlar tablosundan en son eklenen 10 kişinin resimlerini getir","SELECT Pictures FROM Employee ORDER BY ID DESC LIMIT 10"
"tedarikçiler tablosundan ilgili kişilerin isimlerini alfabetik sırala ve adreslerini getir","SELECT Name, Address FROM Supplier ORDER BY Name ASC"
"personeller tablosundan ahmet metenin adresini getir","SELECT Address FROM employees WHERE Name = 'Ahmet Mete';"
"siparişler tablosundan 20-10-22 ile 20-11-22 arasında sipariş edilmiş ürünlerin id numaralarını getir","SELECT Id FROM order WHERE date BETWEEN '20-10-22' AND '20-11-22'"
"kitaplar tablosundaki en fazla sayfa sayısına ait kitap hangisidir","SELECT Book_Name FROM books ORDER BY Page_Number DESC LIMIT 1"
